問題,答え,読み,最終確認日
アルファベット3文字で「TMI」とも略され、1979年3月28日にその2号炉が大規模な原子力事故を起こしたことで知られる、アメリカ・ペンシルベニア州のサスケハナ川の中州に建てられた原子力発電所の名前は何でしょう？,スリーマイル島原子力発電所,スリーマイルとう,2020/04/03
アルフォンソ・ドーデの小説の舞台となったことや、画家のゴッホとゴーギャンがここで共同生活を送ったことで知られる、フランス・プロヴァンス地方に位置する観光都市はどこでしょう？,アルル,アルル,2020/04/03
アレクサンドル・ワルラモフ作曲のロシア民謡の中でも歌われている、ロシアの女性が着用する丈の長いジャンパースカートのような民族衣装は何でしょう？,サラファン,サラファン,2020/04/03
アンデルセンの童話『雪の女王』で、連れ去られた少年カイを追って旅に出る幼馴染の少女の名前は何でしょう？,ゲルダ,ゲルダ,2020/04/03
イギリスのギデオン・マンテルによって発見され、「イグアナの歯」という意味の学名を付けられた恐竜は何でしょう？,イグアノドン,イグアノドン,2020/04/03
イギリスのトランペット奏者ジョン・ショアが発明したとされ、楽器の調律などでよく用いられる、特定の高さの音を発する二又に分かれた金属製の道具は何でしょう？,音叉,おんさ,2020/04/03
イギリスのポール・ホーキンズ博士が開発し、テニスのライン判定やサッカーのゴール判定などに用いられている、複数のカメラでボールの位置や軌道を分析して審判の判定を補助する映像処理システムの名称は何でしょう？,ホークアイ,ホークアイ,2020/04/03
イスラエルの初代首相を務めた政治家の名前が付けられた、「世界一警備が厳しい空港」として知られる同国にある国際空港は何でしょう？,ベン・グリオン国際空港,ベングリオン,2020/04/03
イソップ寓話をもとに『寓話詩』を著し、その中で「火中の栗を拾う」「すべての道はローマに通ず」といった言葉を残した17世紀フランスの詩人は誰でしょう？,ラ・フォンテーヌ,ラフォンテーヌ,2020/04/03
イタリア語で「小さな耳」という意味がある、耳たぶのような形をしたパスタの一種を何というでしょう？,オレキエッテ,オレキエッテ,2020/04/03
イタリア語で「満潮」という意味がある、アドリア海北部で発生する異常潮位現象のことを何というでしょう？,アクア・アルタ,アクアアルタ,2020/04/03
イチゴの品種「福岡S6号」に付けられた、「赤い、丸い、大きい、うまい」の頭文字を取った登録商標は何でしょう？,あまおう,あまおう,2020/04/03
イングランド王チャールズ1世を処刑し、イングランド共和国初代護国卿となって独裁政治を行ったイギリスの政治家は誰でしょう？,オリバー・クロムウェル,クロムウェル,2020/04/03
インドのカースト制度における4つのヴァルナのうちバラモンに次いで2番目に位置する、王族や貴族、武人などの階級のことを何というでしょう？,クシャトリヤ,クシャトリヤ,2020/04/03
インドの国技・カバディで、攻撃側の選手をレイダーといいますが、守備側の選手を何というでしょう？,アンティ,アンティ,2020/04/03
インド洋に浮かび、10月下旬頃に1億匹ともいわれるアカガニの一種が産卵のために森から海への大移動を行うことで知られる、オーストラリア領の島は何島でしょう？,クリスマス島,クリスマス,2020/04/03
ヴィルト第2彗星のコマから試料を採取し、2006年に史上初めて宇宙塵のサンプルリターンに成功したNASAの探査機は何でしょう？,スターダスト,スターダスト,2020/04/03
うつ伏せの状態からスタートの合図で走り出し、約20m先にある旗またはバトンを早く取った者が勝者となる、主に砂浜でライフセーバーの反射神経や走力の向上などを目的として行われる競技は何でしょう？,ビーチフラッグス,ビーチフラッグス,2020/04/03
エディ・マーフィー演じる熱血刑事アクセル・フォーリーの活躍を描いた、1984年にアメリカで公開されたアクション映画は何でしょう？,『ビバリーヒルズ・コップ』,ビバリーヒルズコップ,2020/04/03
オーギュスト・ロダンの彫刻「カレーの市民」は全部で何人の人物が彫られているでしょう？,6人,6,2020/04/03
オーケストラなどの指揮者が振る指揮棒のことを、ドイツ語に由来する和製語で何というでしょう？,タクト,タクト,2020/04/03
"オーストラリア北部のカーペンタリア湾付近で特によく観測される、朝方を中心に現れ、最大で長さ1,000kmに達する巨大なロール状の雲の帯のことを何というでしょう？",モーニング・グローリー,モーニンググローリー,2020/04/03
オリンピックでの女子柔道の階級のうち最も軽いのは何kg級でしょう？,48kg級,48,2020/04/03
オレンジジュースとウォッカで作る、マドラーの代わりとしてある工具が使われたことがその名の由来というカクテルは何でしょう？,スクリュー・ドライバー,スクリュードライバー,2020/04/03
かつて「青空てるお・はるお」や「ライト兄弟」などの名前で活動していた、浜田雅功と松本人志からなるお笑いコンビは何でしょう？,ダウンタウン,ダウンタウン,2020/04/03
ギターなどの弦楽器において、指で押さえずに弾く弦のことを何弦というでしょう？,開放弦,かいほう,2020/04/03
ギリシャ語で「5」を意味する言葉に由来する、国際単位系で10の15乗、すなわち1000兆倍を意味する接頭辞は何でしょう？,ペタ,ペタ,2020/04/03
ギリシャ語で「7つの国」を意味する、中世初期のグレートブリテン島にアングロ・サクソン人が建てた、ノーサンブリア、マーシア、イーストアングリアなどの7つの王国の総称は何でしょう？,ヘプターキー,ヘプターキー,2020/04/03
ギリシャ語で「永久不滅」という意味を持つ鉱物繊維の一種で、その粉塵が中皮腫や肺癌の原因となることから世界的な社会問題となり、日本では2012年を以て完全製造禁止となったのは何でしょう？,アスベスト,アスベスト,2020/04/03
ギリシャ語で「仕事」を意味する言葉に由来する、cgs単位系で用いられるエネルギーの単位は何でしょう？,エルグ,エルグ,2020/04/03
ギリシャ神話に登場する強盗の名にちなむ、人を自分勝手な基準で縛り苦しめることを何のベッドというでしょう？,プロクルステスのベッド,プロクルステス,2020/04/03
クラウス・トイバーが制作し1995年に発売された、6角形のタイルを並べて作られる無人島を各プレイヤーが開拓していくという内容のボードゲームを『何の開拓者たち』というでしょう？,『カタンの開拓者たち』,カタン,2020/04/03
クラリネットやトランペットのように、楽譜に記されている音と実際に鳴らす音の高さが異なる楽器を何楽器というでしょう？,移調楽器,いちょう,2020/04/03
グリム童話『ブレーメンの音楽隊』で知られるブレーメンとは、どこの国の都市でしょう？,ドイツ,ドイツ,2020/04/03
ことわざで、調和していなかったり筋が通らなかったりすることを「木に何を接ぐ」というでしょう？,木に竹を接ぐ,たけ,2020/04/03
ゴルフ場で、芝の育成や手入れを中心にコース管理全般を担う管理者のことを、ある色を意味する英語を使って何というでしょう？,グリーンキーパー,グリーンキーパー,2020/04/03
これによりブルガリアは西トラキアなどの領土を失った、第一次世界大戦後に連合国とブルガリア王国との間で結ばれた講和条約を、その締結地となったフランスの都市名をとって何条約というでしょう？,ヌイイ条約,ヌイイ,2020/04/03
コンピュータゲームで、アップデートにより既存のキャラクターや武器などが弱体化修正されることを、アメリカのハズブロ社の製品である玩具の銃にたとえて俗に何というでしょう？,ナーフ,ナーフ,2020/04/03
シェイクスピアの戯曲『ロミオとジュリエット』で、ロミオはモンタギュー家の一員ですが、ジュリエットは何家の一員でしょう？,キャピュレット家,キャピュレット,2020/04/03
しばしばフェミニズムと混同され、日本語では「男性憎悪」などと訳される、男性は女性よりも劣っていると考え、無条件に男性を嫌うことを英語で何というでしょう？,ミサンドリー,ミサンドリー,2020/04/03
じゃがいもの都道府県別生産量が最も多い都道府県はどこでしょう？,北海道,ほっかいどう,2020/04/03
シャクナゲを県の花としているのは滋賀県ですが、ネモトシャクナゲを県の花としているのはどこでしょう？,福島県,ふくしま,2020/04/03
"ジュール・ヴェルヌの小説『八十日間世界一周』で、主人公のフォッグがカルカッタへの移動手段として2,000ポンドで購入した動物は何でしょう？",象,ぞう,2020/04/03
スイートポテトの「博多ぽてと」や、小豆羊羹をバウムクーヘンで包んだ「博多の女」の土産菓子で有名な福岡県の製菓会社は何でしょう？,二鶴堂,にかくどう,2020/04/03
スカイダイビングで初心者が熟練者とともに行うことが多い、1つのパラシュートに2人をくくりつけて一緒に飛び降りることを何ジャンプというでしょう？,タンデムジャンプ,タンデム,2020/04/03
スクワット、ベンチプレス、デッドリフトの3種目からなる、持ち上げたバーベルの合計重量を競うスポーツは何でしょう？,パワーリフティング,パワーリフティング,2020/04/03
スコットランド民謡の旋律を基にした『故郷の空』や、全国の鉄道沿線の情景を描いた『鉄道唱歌』などの唱歌を作詞した、愛媛県生まれの明治時代の作詞家・国文学者は誰でしょう？,大和田建樹,おおわだたけき,2020/04/03
その成長の様子から「キソウテンガイ」という和名を持つ、アフリカのナミブ砂漠に分布し、生涯でたった2枚の葉だけを伸ばし続ける植物は何でしょう？,ウェルウィッチア,ウェルウィッチア,2020/04/03
その創刊号に「元始女性は太陽であった」と題された創刊の辞が載せられたことでも知られる、1911年に平塚らいてうを中心に創刊された女性による文芸雑誌は何でしょう？,『青鞜』,せいとう,2020/04/03
その大部分が冬の大三角の内側にある、ばら星雲などで知られる星座は何座でしょう？,いっかくじゅう座,いっかくじゅう,2020/04/03
その題名は現地の言葉で「英雄の国」を意味する、医師エリアス・リョンロートがフィンランド国内の口承文芸をまとめる形で編纂した民族叙事詩は何でしょう？,『カレワラ』,カレワラ,2020/04/03
その短い足と、長い胴体から「猫のダックスフント」と呼ばれる、アメリカ原産のネコは何でしょう？,マンチカン,マンチカン,2020/04/03
その中に入っている「フェーヴ」という人形を引き当てると幸運が約束されるという、フランスで1月6日の公現祭の日に食べられるパイ菓子は何でしょう？,ガレット・デ・ロワ,ガレットデロワ,2020/04/03
その発見地から「リベリアカバ」、サイズから「ミニカバ」とも呼ばれる、俗にジャイアントパンダ、オカピとともに「世界三大珍獣」に数えられるカバ科の動物は何でしょう？,コビトカバ,コビトカバ,2020/04/03
その名はギリシャ神話に登場する巨人の名前に由来する、土星の第1衛星は何でしょう？,ミマス,ミマス,2020/04/03
その名はハンガリー語で「草原」という意味がある、ハンガリー大平原の東部に位置し、かつては草地が広がり、現在は灌漑されて大規模な穀倉地帯となっている地域のことを何というでしょう？,プスタ,プスタ,2020/04/03
その名はラテン語で「昼光」を意味し、記号「Im」で表される、LED電球の明るさを表す際などに使われる光束の単位は何でしょう？,ルーメン,ルーメン,2020/04/03
その名称は原産地がイングランド、スコットランド、ウェールズの国境地域であることに由来する、犬の中で最も知能が高いともされる犬種は何でしょう？,ボーダー・コリー,ボーダーコリー,2020/04/03
その命日は「木堂忌」と呼ばれる、1932年に起きた「五・一五事件」で海軍の青年将校らによって暗殺された、当時の内閣総理大臣は誰でしょう？,犬養毅,いぬかいつよし,2020/04/03
それまで行動を共にした人と別れることを、和服のある部分の名前を使って「何を分かつ」というでしょう？,袂を分かつ,たもと,2020/04/03
ソ連の作家イリヤ・エレンブルクの小説の邦題で、転じてソビエトのフルシチョフ政権期における米ソの緊張緩和や自由化の風潮を指す言葉としても使われたのは何でしょう？,『雪どけ』,ゆきどけ,2020/04/03
タイ語では「マークルック・イープン」、英語では「ジャパニーズ・チェス」と呼ばれるボードゲームを、日本語では何というでしょう？,将棋,しょうぎ,2020/04/03
ツルゲーネフによる性格傾向を表す概念のうち、行動的で誇大妄想に陥る性格を、ミゲル・デ・セルバンテスの作品名から何型というでしょう？,ドンキホーテ型,ドンキホーテ,2020/04/03
ドップラー効果によって遠ざかる光源からの光が長波長側にずれる現象を、色名を使って日本語で何というでしょう？,赤方偏移,せきほうへんい,2020/04/03
ドラムセットに使用される、2枚重ねのシンバルを足下のペダル操作で開閉して鳴らす楽器を何というでしょう？,ハイハット,ハイハット,2020/04/03
ニホンザルの北限の生息地であることから、国の天然記念物として生息地域やサルたちが保護の対象となっている、青森県東部に位置する半島は何半島でしょう？,下北半島,しもきた,2020/04/03
ノーベル兄弟が油田開発会社を設立した都市としても知られ、「風の街」という愛称を持つ、アゼルバイジャン共和国の首都はどこでしょう？,バクー,バクー,2020/04/03
ノーベル賞の6部門のうち、ピエール・キュリーとマリー・キュリーの夫婦が共同受賞したのはノーベル何賞でしょう？,ノーベル物理学賞,ぶつりがく,2020/04/03
バーテンダーの島村が爆弾事件の真相を究明する姿を描き、史上初めて江戸川乱歩賞と直木賞のダブル受賞を果たした、1995年発表の藤原伊織の小説は何でしょう？,『テロリストのパラソル』,テロリストのパラソル,2020/04/03
バーナード・ショーの戯曲『ピグマリオン』を原作とする、ロンドンの下町の花売り娘・イライザと、言語学の教授・ヒギンズのラブロマンスを描いたミュージカル作品は何でしょう？,『マイ・フェア・レディ』,マイフェアレディ,2020/04/03
バラタ族の二大王家であるクル族とパンドゥ族の王位をめぐる抗争を題材とした、『イリアス』『オデュッセイア』とともに世界三大叙事詩に数えられる、ヴィヤーサが作者とされるインドの叙事詩は何でしょう？,『マハーバーラタ』,マハーバーラタ,2020/04/03
バンド名はメンバー全員が敬愛するという芸術家の姓に由来し、ベースをタレント・浜田雅功の息子が担当していることでも知られる、『BROTHER』『HEADHUNT』などの曲がある4人組ロックバンドは何でしょう？,OKAMOTO'S,オカモトズ,2020/04/03
ヒゼン、ビゼン、エチゼンなどの種類がある水棲生物といえば何でしょう？,クラゲ,クラゲ,2020/04/03
ヒンドゥー教の雷神・インドラと同一視される、仏教において多聞天ら四天王が仕える神は誰でしょう？,帝釈天,たいしゃくてん,2020/04/03
フィンランド語で「耳の山」という意味がある、フィンランドとロシアの国境に位置し、サンタクロースの居住地と信じられている山の名前は何でしょう？,コルヴァトゥントゥリ,コルヴァトゥントゥリ,2020/04/03
ブラジル発祥の7人制サッカーを、ポルトガル語の「社交的」という意味の言葉から何と呼ぶでしょう？,ソサイチ,ソサイチ,2020/04/03
フランス語で「たまり場」といった意味がある言葉で、ホテルや劇場の出入口付近にある広い休憩スペースのことを何というでしょう？,ホワイエ,ホワイエ,2020/04/03
フランス語で「午前中」といった意味がある、演劇や音楽会における昼間の興行のことを指す言葉は何でしょう？,マチネ,マチネ,2020/04/03
フランス語で「小さな家」という意味があり、日本では一般に集合住宅において、1つの住戸の中に内階段を持ち、2階以上のフロアに跨る物件のことを指す言葉は何でしょう？,メゾネット,メゾネット,2020/04/03
プロレスで、悪役を「ヒール」と呼ぶのに対し、善玉として振る舞うレスラーのことを、「童顔」を意味する英語で何というでしょう？,ベビーフェイス,ベビーフェイス,2020/04/03
ヘアブラシの中でも特に、ハーフタイプで土台が半円形の形状をしているもののことを、1938年にこれを発明したイギリス人の名から何ブラシというでしょう？,デンマンブラシ,デンマン,2020/04/03
ベジタリアンの中でも、乳製品と蜂蜜は摂取し、卵は避ける、「乳菜食者」といわれる人たちのことを英語で「何・ベジタリアン」というでしょう？,ラクト・ベジタリアン,ラクト,2020/04/03
ヘリウム、ネオン、アルゴンなど、元素周期表で第18族に属する化学的に安定かつ不活性な性質を持つ7つの元素を総称して何というでしょう？,希ガス／貴ガス,きガス,2020/04/03
ヘレフォード、ジャージー、ホルスタインなどの品種がある家畜は何でしょう？,ウシ,ウシ,2020/04/03
ボウリングで「ファウンデーションフレーム」と呼ばれるのは第何フレームでしょう？,第9フレーム,9,2020/04/03
ホシバナモグラでは花弁のように大きく発達している、モグラの鼻にある地中の振動を感知する感覚器官を「何器官」というでしょう？,アイマー器官,アイマー,2020/04/03
ミュージシャンの矢沢永吉、ポルノグラフィティ、Perfumeは、いずれもどこの都道府県出身でしょう？,広島県,ひろしま,2020/04/03
ミラベル宮殿やヘルブルン宮殿などの名所があり、モーツァルトの生誕の地としても有名なオーストリアの都市はどこでしょう？,ザルツブルク,ザルツブルク,2020/04/03
ユネスコの世界遺産にも登録されている、930年に世界初の近代的な民主制議会ともいわれる全島集会「アルシング」が開かれた場所であるアイスランドの国立公園はどこでしょう？,シンクヴェトリル国立公園,シンクヴェトリル,2020/04/03
よれよれのレインコートとぼさぼさ髪がトレードマークの主人公をピーター・フォークが演じ、日本の『古畑任三郎』など倒叙ミステリと呼ばれる作品に大きな影響を与えた、アメリカの人気刑事ドラマシリーズの邦題は何でしょう？,『刑事コロンボ』,けいじコロンボ,2020/04/03
ラテン語の「蝶」という言葉が語源とされる、博覧会などで展示を行う建物のことを指す英語は何でしょう？,パビリオン,パビリオン,2020/04/03
ラテン語の「日の出から6時間後」を指す言葉を語源とする、主にスペインにおける昼食後の休憩のことを何というでしょう？,シエスタ,シエスタ,2020/04/03
リンガラ語で「やっちまえ」という意味の言葉が元となった、アントニオ猪木がモハメド・アリから譲り受けた入場曲のタイトルや曲中に登場する言葉は何でしょう？,ボンバイエ,ボンバイエ,2020/04/03
ロシアの民族楽器・バラライカに、弦は何本あるでしょう？,3本,3,2020/04/03
愛称は「和製ジャンヌ・ダルク」である、日本女子プロ初の公認パーフェクトゲームをTV中継で達成し、社会現象を引き起こした元プロボウリング選手は誰でしょう？,中山律子,なかやまりつこ,2020/04/03
愛称を「ラプター」という、ロッキード・マーティン社とボーイング社が共同開発したアメリカ空軍に配備されている戦闘機は何でしょう？,F-22,F22,2020/04/03
一説に『ジキル博士とハイド氏』のジキル博士のモデルの1人とされ、彼の名を冠した博物館には彼が収集した多くの動物・人間の医学標本が遺されている、「実験医学の父」と呼ばれるイギリスの外科医は誰でしょう？,ジョン・ハンター,ハンター,2020/04/03
一般に「温水洗浄便座」全般を指す言葉としても用いられる、TOTOの登録商標である商品名は何でしょう？,ウォシュレット,ウォシュレット,2020/04/03
一般に「音楽の3要素」といえば、リズム、メロディと何でしょう？,ハーモニー,ハーモニー,2020/04/03
一般に「世界三大洋」といえば、太平洋、大西洋と何という海のことでしょう？,インド洋,いんどよう,2020/04/03
一般には「ビタミンC」の名で知られる、「抗壊血病効果を持つ酸」という意味で名付けられた有機化合物は何でしょう？,アスコルビン酸,アスコルビンさん,2020/04/03
一般には酢と醤油、みりんを混ぜ合わせて作られることが多い、酢の物などに用いられる甘みのある合わせ酢のことを何というでしょう？,三杯酢,さんばいず,2020/04/03
一般的な12星座占いで、元日が誕生日の人は何座になるでしょう？,山羊座,やぎ,2020/04/03
一般的に、トランプゲームの「フリーセル」は何人で遊ぶゲームでしょう？,1人,1,2020/04/03
茨城県と東京都を結ぶ「つくばエクスプレス」は、つくば駅と何駅を結ぶ鉄道路線でしょう？,秋葉原駅,あきはばら,2020/04/03
映画『スター・ウォーズ』シリーズで、C-3POの親友である、宇宙船や電子機器のオペレートを主目的としたドロイドの名前は何でしょう？,R2-D2,R2D2,2020/04/03
英語で「罪」と「箱」を意味する言葉にちなむ、ラグビーで悪質な反則や危険なプレーをした選手に一時退場を命じるルールを何というでしょう？,シンビン,シンビン,2020/04/03
英語では「Atlantic footballfish」と呼ばれる、体の一部を発光させ、餌となる生物を誘う生体がよく知られる深海魚は何でしょう？,チョウチンアンコウ,チョウチンアンコウ,2020/04/03
英語では「lunar eclipse」という、月と太陽の間に地球が入ることで起こる天文現象は何でしょう？,月食,げっしょく,2020/04/03
英語の感嘆詞に由来する言葉で、スポーツにおいて、主に緊張などの精神的な原因から思い通りの動作ができなくなる身体症状のことを何というでしょう？,イップス,イップス,2020/04/03
"英語版は「Hey let's go, hey let's go」という歌い出しで始まる、アニメ映画『となりのトトロ』のオープニングテーマとして使われた歌のタイトルは何でしょう？",『さんぽ』,さんぽ,2020/04/03
奄美群島の中で最も沖縄県に近い位置にある、鹿児島県最南端の島はどこでしょう？,与論島,よろんじま,2020/04/03
夏目漱石の小説『坊っちゃん』で、坊っちゃんの赴任先である学校の校長のあだ名は何でしょう？,狸,たぬき,2020/04/03
歌川広重の浮世絵連作『東海道五十三次』は何枚からなる作品でしょう？,55枚,55,2020/04/03
火の気のある灰の中へ水や湯をこぼした時に、灰が吹き上がる現象のことを漢字3文字の言葉で何というでしょう？,灰神楽,はいかぐら,2020/04/03
海王星の環のうち最も内側にある環にその名を残す、1846年に初めて海王星を発見したドイツの天文学者は誰でしょう？,ヨハン・ゴットフリート・ガレ,ガレ,2020/04/03
皆既日食において、太陽が月にすべて隠れる直前と、再び太陽が現れた直後にだけ見られる、月の影を環状に囲むコロナの1ヶ所だけが強く輝いて見える現象を、それがある宝飾品のように見えることから何というでしょう？,ダイヤモンドリング,ダイヤモンドリング,2020/04/03
階段の段と段の間にある、地面に対して垂直に立てられた板のことを何板というでしょう？,蹴込み板,けこみ,2020/04/03
外見がうずくまったタヌキのように見えることから、ある昔話の題名がそのまま和名となっている、ウニでありながら「アリストテレスの提灯」を持たないなどの特徴を持つウニの一種は何でしょう？,ブンブクチャガマ,ブンブクチャガマ,2020/04/03
外来魚のブルーギルとブラックバスはともに何科に属するでしょう？,サンフィッシュ科,サンフィッシュ,2020/04/03
各地からの航空路線が集中し地域の中心となる空港のことを、自転車の車輪の中心部にたとえて何空港というでしょう？,ハブ空港,ハブ,2020/04/03
葛飾北斎の浮世絵『富嶽三十六景』の中で、その色合いから「黒富士」と呼ばれている作品は何でしょう？,『山下白雨』,さんかはくう,2020/04/03
葛飾北斎の浮世絵『富嶽三十六景』の中で、その色合いから「赤富士」と呼ばれている作品は何でしょう？,『凱風快晴』,がいふうかいせい,2020/04/03
漢字では「牙買加」と書く、キングストンに首都を置く国はどこでしょう？,ジャマイカ,ジャマイカ,2020/04/03
漢字では「蘖」と書く、樹木の切り株や根元から生えてくる若芽のことを何というでしょう？,ひこばえ,ひこばえ,2020/04/03
漢方薬を収納するのに用いられた、小さな引き出しがたくさん付いた箪笥のことを、ある漢数字を用いて何箪笥というでしょう？,百味箪笥,ひゃくみ,2020/04/03
管弦楽曲『牧神の午後への前奏曲』や、ピアノ組曲『子供の領分』『ベルガマスク組曲』などの作品で知られる、印象主義音楽を代表するフランスの作曲家は誰でしょう？,クロード・ドビュッシー,ドビュッシー,2020/04/03
企業において、買収で従業員が解雇された場合には多額の退職金などを保証するという労働契約をあらかじめ結び、買収を予防する戦略のことを、「落下傘」を意味する英語を使って何というでしょう？,ティン・パラシュート,ティンパラシュート,2020/04/03
気楽な老後の生活のことを、飴をなめながら孫と遊ぶという意味の四字熟語で何というでしょう？,含飴弄孫,がんいろうそん,2020/04/03
虚無僧がかぶっている、藺草で編んで作られる深編み笠のことを、漢字2文字で何というでしょう？,天蓋,てんがい,2020/04/03
近畿地方では「かちんうどん」とも呼ぶ、餅が入ったうどんのことを一般に漢字1文字を使って「何うどん」というでしょう？,力うどん,ちから,2020/04/03
兄はジョゼフ＝ミシェル、弟はジャック＝エティエンヌという名である、18世紀に熱気球を発明し、世界初の有人飛行実験に成功した兄弟を何兄弟というでしょう？,モンゴルフィエ兄弟,モンゴルフィエ,2020/04/03
劇中の「オデッサの階段」と呼ばれる民衆虐殺のシーンが「映画史上最も有名な6分間」などと称される、1925年にセルゲイ・エイゼンシュテインが監督したサイレント映画は何でしょう？,『戦艦ポチョムキン』,せんかんポチョムキン,2020/04/03
決闘で亡くなったプーシキンを悼み『詩人の死』を著したロシアの詩人で、小説『現代の英雄』などの代表作を残すも、自らもマルトゥイノフとの決闘で亡くなったのは誰でしょう？,ミハイル・ユーリエヴィチ・レールモントフ,レールモントフ,2020/04/03
建築家の伊東忠太が「建築」と呼び改めることを提唱するまで「Architecture」の訳語として広く使われていた日本語で、現在の日本建築学会の設立当初の名称にもなっていた漢字2字の言葉は何でしょう？,造家,ぞうか,2020/04/03
元々は弓の弦を強くするための塗り薬を手にとることを意味し、転じて準備を終えて機会を待ち構えている際に「引く」といわれるものは何でしょう？,手ぐすね,てぐすね,2020/04/03
元々は証券を挟む紙挟みや書類入れを意味しており、転じて金融用語では投資家が保有する金融資産の一覧表や組み合わせを指すようになった言葉は何でしょう？,ポートフォリオ,ポートフォリオ,2020/04/03
元々は仏教で大地の最下層にあると考えられていた境界部を指していた言葉で、転じて「決して」「二度と」などの否定的な意味で使われる漢字3文字の言葉は何でしょう？,金輪際,こんりんざい,2020/04/03
元プロレスラー・アントニオ猪木が1972年に設立した、現在の所属選手にオカダ・カズチカ、真壁刀義、棚橋弘至らがいるプロレス団体は何でしょう？,新日本プロレス,しんにほんプロレス,2020/04/03
元メジャーリーガーの野茂英雄が、日本のプロ野球で選手として在籍していた球団はどこでしょう？,近鉄バファローズ,きんてつバファローズ,2020/04/03
元素記号をアルファベット順に並べた時に最後にくる、原子番号40、元素記号Zrで表される元素は何でしょう？,ジルコニウム,ジルコニウム,2020/04/03
現生のトカゲでは世界最大級の体を持つ、インドネシアの東ヌサ・トゥンガラ州の一部に生息するトカゲの一種を、ある島の名をとって「何オオトカゲ」というでしょう？,コモドオオトカゲ,コモド,2020/04/03
現地の言葉で「魂の島」という意味を持ち、五大湖のヒューロン湖にある、淡水湖の中にあるものとしては世界最大の島は何島でしょう？,マニトゥーリン島,マニトゥーリン,2020/04/03
古生代の「デボン紀」という時代区分名の由来となった「デヴォン州」がある国はどこでしょう？,イギリス,イギリス,2020/04/03
古代の共和制ローマにおいて、カエサル、ポンペイウスとともに第1回三頭政治を行った政治家は誰でしょう？,クラッスス,クラッスス,2020/04/03
互いによく似ているもののことを、部首の己部の漢字を3種類使った四字熟語で何というでしょう？,已己巳己,いこみき,2020/04/03
江戸期の照明器具・行灯の中でも、主に吉原遊郭の妓楼前に立てられ、上部が屋根状になっているものを何行灯というでしょう？,誰哉行灯,たそや,2020/04/03
江戸時代にあった五街道の宿場のうち、中山道と東海道が合流していた、旧近江国・現在の滋賀県にあった宿場はどこでしょう？,草津宿,くさつ,2020/04/03
江戸時代の仙台藩江戸詰の藩医で、北方海防の重要性を説く『赤蝦夷風説考』を著したのは誰でしょう？,工藤平助,くどうへいすけ,2020/04/03
皇室典範第26条に記載されている、天皇および皇族の血統を示した戸籍のような帳簿を何というでしょう？,皇統譜,こうとうふ,2020/04/03
航空便で、国際便を「インターナショナル・フライト」というのに対し、国内便のことを英語で何フライトというでしょう？,ドメスティック・フライト,ドメスティック,2020/04/03
国際水泳殿堂が置かれていることで知られる、アメリカ・フロリダ州南部の都市はどこでしょう？,フォートローダーデール,フォートローダーデール,2020/04/03
国際度量衡総会で定められた国際単位系・SIの基本単位は、全部でいくつあるでしょう？,7つ,7,2020/04/03
国立大学も広義のこれにあたる、日本で政府の事業を分離・独立させて、効率的に運営するために設立された法人を何法人というでしょう？,独立行政法人,どくりつぎょうせいほうじん,2020/04/03
黒海に面するロシア随一の保養地で、2014年には冬季オリンピックも開かれた都市はどこでしょう？,ソチ,ソチ,2020/04/03
財務諸表の1つで「P/L」と略される、一定期間における収益と費用をまとめ、当期の純利益または純損失を表示する表を日本語で何というでしょう？,損益計算書,そんえきけいさんしょ,2020/04/03
山号を亀嶽林といい、加藤清正が「身代わり不動明王」と命名した像があることや、織田信長が父・信秀の葬儀の席で抹香を投げつける出来事があったことで知られる、名古屋市に建つ寺院は何でしょう？,万松寺,ばんしょうじ,2020/04/03
四国三大祭りに数えられ、鳴子を持った踊り子たちが街を練り歩くことで知られる、毎年8月に高知市で開かれる祭りは何祭りでしょう？,よさこい祭り,よさこい,2020/04/03
思いがけないことを表す「青天の霹靂」の「霹靂」とは、どんな自然現象のことでしょう？,雷,かみなり,2020/04/03
歯を磨く時に、ハブラシを歯の根元に対して約45度の角度で当てて小刻みに動かすブラッシング方法を、発明者の名前から何法というでしょう？,バス法,バス,2020/04/03
次回の東京パラリンピックで新競技として採用される2競技とは、バドミントンと何でしょう？,テコンドー,テコンドー,2020/04/03
自国の左翼ゲリラ「コロンビア革命軍」との内戦終結に向けた取組みの評価により、2016年にノーベル平和賞を受賞したコロンビアの第57代大統領は誰でしょう？,フアン・マヌエル・サントス,サントス,2020/04/03
自動車の運転データを収集し、ユーザーの事故リスクや運転特性を分析して保険料に反映させる、2000年代から普及が始まった自動車保険を一般に何保険というでしょう？,テレマティクス保険,テレマティクス,2020/04/03
自動車の大型免許や第二種免許を取得する際にはこれに合格する必要がある、両眼により立体感や遠近感を正しく知覚できるかを測定する検査を何検査というでしょう？,深視力検査,しんしりょく,2020/04/03
室町幕府の歴代将軍で唯一、名前に「義」の字が使われていないのは誰でしょう？,足利尊氏,あしかがたかうじ,2020/04/03
社会学を「道徳科学」と位置づけた『社会分業論』や、自殺を4つに類型化した『自殺論』などの著書で知られる、古典的な社会学の確立に寄与したフランスの社会学者は誰でしょう？,エミール・デュルケーム,デュルケーム,2020/04/03
主に7本1組で1つの数字を構成する、デジタル時計や電卓などの表示部分に用いられる1本1本の棒のことを何というでしょう？,セグメント,セグメント,2020/04/03
